"time","Amm_mgL"
"28/07/2020 11:",0.983
"28/07/2020 12:",1.13
"28/07/2020 13:",1.37
"28/07/2020 14:",1.53
"28/07/2020 15:",1.61
"28/07/2020 16:",1.6
"28/07/2020 17:",1.9
"28/07/2020 18:",1.9
"28/07/2020 19:",1.93
"28/07/2020 20:",2.05
"28/07/2020 21:",2
"28/07/2020 22:",2.03
"28/07/2020 23:",1.91
"29/07/2020 00:",1.85
"29/07/2020 01:",1.81
"29/07/2020 02:",1.66
"29/07/2020 03:",1.57
"29/07/2020 04:",1.41
"29/07/2020 05:",1.28
"29/07/2020 06:",1.12
"29/07/2020 07:",0.965
"29/07/2020 08:",1.05
"29/07/2020 09:",0.762
"29/07/2020 10:",0.951
"29/07/2020 11:",0.955
"29/07/2020 12:",1.05
"29/07/2020 13:",1.33
"29/07/2020 14:",1.5
"29/07/2020 15:",1.59
"29/07/2020 16:",1.57
"29/07/2020 17:",1.82
"29/07/2020 18:",1.92
"29/07/2020 19:",1.98
"29/07/2020 20:",2.05
"29/07/2020 21:",2.04
"29/07/2020 22:",2.07
"29/07/2020 23:",2.02
"30/07/2020 00:",1.96
"30/07/2020 01:",1.91
"30/07/2020 02:",1.73
"30/07/2020 03:",1.67
"30/07/2020 04:",1.56
"30/07/2020 05:",1.37
"30/07/2020 06:",1.23
"30/07/2020 07:",1.18
"30/07/2020 08:",1.06
"30/07/2020 09:",0.889
"30/07/2020 10:",1.06
"30/07/2020 11:",1.095
"30/07/2020 12:",1.225
"30/07/2020 13:",1.43
"30/07/2020 14:",1.62
"30/07/2020 15:",1.755
"30/07/2020 16:",1.925
"30/07/2020 17:",2.08
"30/07/2020 18:",2.155
"30/07/2020 19:",2.235
"30/07/2020 20:",2.265
"30/07/2020 21:",2.225
"30/07/2020 22:",2.205
"30/07/2020 23:",2.2
"31/07/2020 00:",2.115
"31/07/2020 01:",2.04
"31/07/2020 02:",1.955
"31/07/2020 03:",1.8
"31/07/2020 04:",1.665
"31/07/2020 05:",1.54
"31/07/2020 06:",1.41
"31/07/2020 07:",1.275
"31/07/2020 08:",1.145
"31/07/2020 09:",1.125
"31/07/2020 10:",1.165
"31/07/2020 11:",1.23
"31/07/2020 12:",1.375
"31/07/2020 13:",1.565
"31/07/2020 14:",1.7725
"31/07/2020 15:",1.9575
